,time,open,high,low,close,weekday,range_HL,range_OC,type
0,2000-01-03 09:15:00+05:30,1054.8101,1054.8101,1054.8101,1054.8101,0,0,0,Tie
1,2000-01-04 09:15:00+05:30,1092.08,1092.08,1092.08,1092.08,1,0,0,Tie
2,2000-01-05 09:15:00+05:30,1055.99,1055.99,1055.99,1055.99,2,0,0,Tie
3,2000-01-06 09:15:00+05:30,1086.67,1086.67,1086.67,1086.67,3,0,0,Tie
4,2000-01-07 09:15:00+05:30,1126.99,1126.99,1126.99,1126.99,4,0,0,Tie
5,2000-01-10 09:15:00+05:30,1088.97,1088.97,1088.97,1088.97,0,0,0,Tie
6,2000-01-11 09:15:00+05:30,1033.55,1033.55,1033.55,1033.55,1,0,0,Tie
7,2000-01-12 09:15:00+05:30,1036.63,1036.63,1036.63,1036.63,2,0,0,Tie
8,2000-01-13 09:15:00+05:30,1034.1899,1034.1899,1034.1899,1034.1899,3,0,0,Tie
9,2000-01-14 09:15:00+05:30,1023.41,1023.41,1023.41,1023.41,4,0,0,Tie
10,2000-01-17 09:15:00+05:30,1035.99,1035.99,1035.99,1035.99,0,0,0,Tie
11,2000-01-18 09:15:00+05:30,1021.69,1021.69,1021.69,1021.69,1,0,0,Tie
12,2000-01-19 09:15:00+05:30,1057.89,1057.89,1057.89,1057.89,2,0,0,Tie
13,2000-01-20 09:15:00+05:30,1046.3101,1046.3101,1046.3101,1046.3101,3,0,0,Tie
14,2000-01-21 09:15:00+05:30,1058.91,1058.91,1058.91,1058.91,4,0,0,Tie
15,2000-01-24 09:15:00+05:30,1049.8199,1049.8199,1049.8199,1049.8199,0,0,0,Tie
16,2000-01-25 09:15:00+05:30,1061.6,1061.6,1061.6,1061.6,1,0,0,Tie
17,2000-01-27 09:15:00+05:30,1096.45,1096.45,1096.45,1096.45,3,0,0,Tie
18,2000-01-28 09:15:00+05:30,1153.35,1153.35,1153.35,1153.35,4,0,0,Tie
19,2000-01-31 09:15:00+05:30,1148.89,1148.89,1148.89,1148.89,0,0,0,Tie
20,2000-02-01 09:15:00+05:30,1175.15,1175.15,1175.15,1175.15,1,0,0,Tie
21,2000-02-02 09:15:00+05:30,1186.97,1186.97,1186.97,1186.97,2,0,0,Tie
22,2000-02-03 09:15:00+05:30,1185.11,1185.11,1185.11,1185.11,3,0,0,Tie
23,2000-02-04 09:15:00+05:30,1172.21,1172.21,1172.21,1172.21,4,0,0,Tie
24,2000-02-07 09:15:00+05:30,1158.08,1158.08,1158.08,1158.08,0,0,0,Tie
25,2000-02-08 09:15:00+05:30,1150.2,1150.2,1150.2,1150.2,1,0,0,Tie
26,2000-02-09 09:15:00+05:30,1154.25,1154.25,1154.25,1154.25,2,0,0,Tie
27,2000-02-10 09:15:00+05:30,1181.48,1181.48,1181.48,1181.48,3,0,0,Tie
28,2000-02-11 09:15:00+05:30,1156.67,1156.67,1156.67,1156.67,4,0,0,Tie
29,2000-02-14 09:15:00+05:30,1212.66,1212.66,1212.66,1212.66,0,0,0,Tie
30,2000-02-15 09:15:00+05:30,1148.1,1148.1,1148.1,1148.1,1,0,0,Tie
31,2000-02-16 09:15:00+05:30,1167.64,1167.64,1167.64,1167.64,2,0,0,Tie
32,2000-02-17 09:15:00+05:30,1178.51,1178.51,1178.51,1178.51,3,0,0,Tie
33,2000-02-18 09:15:00+05:30,1151.5601,1151.5601,1151.5601,1151.5601,4,0,0,Tie
34,2000-02-21 09:15:00+05:30,1142.8,1142.8,1142.8,1142.8,0,0,0,Tie
35,2000-02-22 09:15:00+05:30,1091.48,1091.48,1091.48,1091.48,1,0,0,Tie
36,2000-02-23 09:15:00+05:30,1092.85,1092.85,1092.85,1092.85,2,0,0,Tie
37,2000-02-24 09:15:00+05:30,1103.9,1103.9,1103.9,1103.9,3,0,0,Tie
38,2000-02-25 09:15:00+05:30,1109.38,1109.38,1109.38,1109.38,4,0,0,Tie
39,2000-02-28 09:15:00+05:30,1141.1801,1141.1801,1141.1801,1141.1801,0,0,0,Tie
40,2000-02-29 09:15:00+05:30,1075.15,1075.15,1075.15,1075.15,1,0,0,Tie
41,2000-03-01 09:15:00+05:30,1139.88,1139.88,1139.88,1139.88,2,0,0,Tie
42,2000-03-02 09:15:00+05:30,1141.08,1141.08,1141.08,1141.08,3,0,0,Tie
43,2000-03-03 09:15:00+05:30,1124.7,1124.7,1124.7,1124.7,4,0,0,Tie
44,2000-03-06 09:15:00+05:30,1126.59,1126.59,1126.59,1126.59,0,0,0,Tie
45,2000-03-07 09:15:00+05:30,1104.42,1104.42,1104.42,1104.42,1,0,0,Tie
46,2000-03-08 09:15:00+05:30,1057.46,1057.46,1057.46,1057.46,2,0,0,Tie
